코레일,경춘,대성리,경기도 가평군 청평면 대성리 393-3,경기도 가평군 청평면 경춘로 88,군 청평
코레일,경춘,청평,경기도 가평군 청평면 청평리 125-1,경기도 가평군 청평면 청평역로 97-33,군 청평
코레일,경춘,상천,경기도 가평군 청평면 상천리 1260-1,경기도 가평군 청평면 상천역로 29,군 청평
코레일,경춘,가평,경기도 가평군 가평읍 달전리 567,경기도 가평군 가평읍 문화로 13-42,군 가평
코레일,경춘,굴봉산,강원도 춘천시 남산면 백양리 588-30,강원도 춘천시 남산면 서백길 192,시 남산
코레일,경춘,백양리,강원도 춘천시 남산면 강촌리 680-7,강원도 춘천시 남산면 북한강변길 690,시 남산
코레일,경춘,강촌,강원도 춘천시 남산면 방곡리 409,강원도 춘천시 남산면 강촌로 150,시 남산
코레일,경춘,김유정,강원도 춘천시 신동면 증리 945-1,강원도 춘천시 신동면 김유정로 1435,시 신동
코레일,경춘,남춘천,강원도 춘천시 퇴계동 633-2,강원도 춘천시 영서로 2260,시 퇴계
코레일,경춘,춘천,강원도 춘천시 근화동 190,강원도 춘천시 평화로 1,시 근화
철도운영기관명,선명,역명,지번주소,도로명주소,
공항철도,공항,서울역,서울특별시 용산구 동자동 43-227,서울특별시 용산구 청파로 378,용산구
공항철도,공항,공덕,서울특별시 마포구 도화동 25-13,서울특별시 마포구 마포대로 92,마포구
공항철도,공항,홍대입구,서울특별시 마포구 동교동 190-1,서울특별시 마포구 양화로 188,마포구
공항철도,공항,디지털미디어시티,서울특별시 마포구 상암동 1140,서울특별시 마포구 성암로 184,마포구
공항철도,공항,김포공항,서울특별시 강서구 방화동 886,서울특별시 강서구 하늘길 77,강서구
공항철도,공항,계양,인천광역시 계양구 귤현동 451-264,인천광역시 계양구 다남로 24,계양구
공항철도,공항,검암,인천광역시 서구 검암동 414-204,인천광역시 서구 검바위로 26,서구 검
공항철도,공항,청라국제도시,인천광역시 서구 경서동 519-2,인천광역시 서구 에코로 163,서구 경
공항철도,공항,영종,인천광역시 서구 경서동 519-2,인천광역시 서구 에코로 163,서구 경
공항철도,공항,운서,인천광역시 중구 운서동 1427-27,인천광역시 중구 흰바위로 59번길 26,중구
공항철도,공항,공항화물청사,인천광역시 중구 운서동 2844-7,인천광역시 중구 공항동로 135번길 86,중구
공항철도,공항,인천국제공항,인천광역시 중구 운서동 2851,인천광역시 중구 공항로 271,중구
철도운영기관명,선명,역명,지번주소,도로명주소,
코레일,분당,왕십리,서울특별시 성동구 행당동 168-151,서울특별시 성동구 왕십리광장로 17,성동구
코레일,분당,서울숲,서울특별시 성동구 성수동1가 656-436,서울특별시 성동구 왕십리로 77,성동구
코레일,분당,압구정로데오,서울특별시 강남구 압구정동 495,서울특별시 강남구 압구정로 402,강남구
코레일,분당,강남구청,서울특별시 강남구 삼성동 111-44,서울특별시 강남구 학동로 346,강남구
코레일,분당,선정릉,서울특별시 강남구 삼성동 111-44,서울특별시 강남구 선릉로 580,강남구
코레일,분당,선릉,서울특별시 강남구 삼성동 172-66,서울특별시 강남구 선릉로 340,강남구
코레일,분당,한티,서울특별시 강남구 대치동 1011-28,서울특별시 강남구 선릉로 228,강남구
코레일,분당,도곡,서울특별시 강남구 도곡동 467-5,서울특별시 강남구 남부순환로 2814,강남구
코레일,분당,구룡,서울특별시 강남구 개포동 175-3,서울특별시 강남구 개포로 403,강남구
코레일,분당,개포동,서울특별시 강남구 개포동 195,서울특별시 강남구 개포로 420,강남구
코레일,분당,대모산입구,서울특별시 강남구 일원동 700,서울특별시 강남구 개포로 522,강남구
코레일,분당,수서,서울특별시 강남구 수서동 728,서울특별시 강남구 광평로 270,강남구
코레일,분당,복정,서울특별시 송파구 장지동 596-21,서울특별시 송파구 송파대로 6,송파구
코레일,분당,가천대,경기도 성남시 수정구 태평동 7131,경기도 성남시 수정구 성남대로 1332,시 수정
코레일,분당,태평,경기도 성남시 수정구 수진동 4808,경기도 성남시 수정구 성남대로 1229,시 수정
코레일,분당,모란,경기도 성남시 중원구 성남동 1575,경기도 성남시 중원구 성남대로 1147,시 중원
코레일,분당,야탑,경기도 성남시 분당구 야탑동 488-1,경기도 성남시 분당구 성남대로 903,시 분당
코레일,분당,이매,경기도 성남시 분당구 이매동 129-1,경기도 성남시 분당구 성남대로 738,시 분당
코레일,분당,서현,경기도 성남시 분당구 서현동 263,경기도 성남시 분당구 성남대로 601,시 분당
코레일,분당,수내,경기도 성남시 분당구 수내동 14,경기도 성남시 분당구 성남대로 491,시 분당
코레일,분당,정자,경기도 성남시 분당구 정자동 95-1,경기도 성남시 분당구 성남대로 333,시 분당
코레일,분당,미금,경기도 성남시 분당구 금곡동 222,경기도 성남시 분당구 성남대로 156,시 분당
코레일,분당,오리,경기도 성남시 분당구 구미동 197-1,경기도 성남시 분당구 성남대로 55,시 분당
코레일,분당,죽전,경기도 용인시 수지구 죽전동 1286,경기도 용인시 수지구 포은대로 530,시 수지
코레일,분당,보정,경기도 용인시 기흥구 보정동 1285,경기도 용인시 기흥구 용구대로 2560,시 기흥
코레일,분당,구성,경기도 용인시 기흥구 마북동 460-3,경기도 용인시 기흥구 용구대로 2403,시 기흥
코레일,분당,신갈,경기도 용인시 기흥구 신갈동 167,경기도 용인시 기흥구 기흥로 136,시 기흥
코레일,분당,기흥,경기도 용인시 기흥구 구갈동 227-25,경기도 용인시 기흥구 중부대로 460,시 기흥
코레일,분당,상갈,경기도 용인시 기흥구 상갈동 227-3,경기도 용인시 기흥구 금화로 40,시 기흥
코레일,분당,청명,경기도 수원시 영통구 영통동 1055,경기도 수원시 영통구 봉영로 1560,시 영통
코레일,분당,영통,경기도 수원시 영통구 영통동 1055,경기도 수원시 영통구 봉영로 1670,시 영통
코레일,분당,망포,경기도 수원시 영통구 영통동 1069,경기도 수원시 영통구 덕영대로 1520,시 영통
코레일,분당,매탄권선,경기도 수원시 영통구 매탄동 687-4,경기도 수원시 영통구 권선로 841,시 영통
코레일,분당,수원시청,경기도 수원시 권선구 권선동 1122,경기도 수원시 권선구 효원로 270,시 권선
코레일,분당,매교,경기도 수원시 팔달구 매교동 283,경기도 수원시 팔달구 효원로 126,시 팔달
코레일,분당,수원,경기도 수원시 팔달구 매산로1가 18,경기도 수원시 팔달구 덕영대로 944,시 팔달
철도운영기관명,선명,역명,지번주소,도로명주소,
코레일,1호선,소요산,경기도 동두천시 상봉암동 126-3,경기도 동두천시 평화로 2925,천시 상
코레일,1호선,동두천,경기도 동두천시 동두천동 245-210,경기도 동두천시 평화로 2687 ,천시 동
코레일,1호선,보산,경기도 동두천시 보산동 422,경기도 동두천시 평화로 2539,천시 보
코레일,1호선,동두천중앙,경기도 동두천시 생연동 726-3,경기도 동두천시 동두천로 228,천시 생
코레일,1호선,지행,경기도 동두천시 지행동 424-1,경기도 동두천시 평화로 2285,천시 지
코레일,1호선,덕정,경기도 양주시 덕정동 350-14,경기도 양주시 화합로 1356,시 덕정
코레일,1호선,덕계,경기도 양주시 덕계동 209-5,경기도 양주시 고덕로 139번길 317,시 덕계
코레일,1호선,양주,경기도 양주시 남방동 94-1,경기도 양주시 평화로 919,시 남방
코레일,1호선,녹양,경기도 의정부시 녹양동 96-1,경기도 의정부시 평화로 757,부시 녹
코레일,1호선,가능,경기도 의정부시 가능동 197-1,경기도 의정부시 평화로 633,부시 가
코레일,1호선,의정부,경기도 의정부시 의정부동 168-54,경기도 의정부시 평화로 525,부시 의
